owner;name;full_name;repo_url;api_url;default_branch;created_at;updated_at;has_pipeline;yaml_files_content
4ra1n;super-xray;4ra1n/super-xray;https://github.com/4ra1n/super-xray;https://api.github.com/repos/4ra1n/super-xray;main;18/11/2022 15:52;17/04/2024 08:14;TRUE;"# This workflow will build a Java project with Maven, and cache/restore any dependencies to improve the workflow execution time
# For more information see: https://docs.github.com/en/actions/automating-builds-and-tests/building-and-testing-java-with-maven

# This workflow uses actions that are not certified by GitHub.
# They are provided by a third-party and are governed by
# separate terms of service, privacy policy, and support
# documentation.

name: Java CI with Maven

on:
  push:
    branches: [ ""main"" ]
  pull_request:
    branches: [ ""main"" ]

jobs:
  build:

    runs-on: ubuntu-latest

    steps:
    - uses: actions/checkout@v3
    - name: Set up JDK 8
      uses: actions/setup-java@v3
      with:
        java-version: '8'
        distribution: 'temurin'
        cache: maven
    - name: Build with Maven
      run: mvn -B package --file pom.xml

    # Optional: Uploads the full dependency graph to GitHub to improve the quality of Dependabot alerts this repository can receive
    - name: Update dependency graph
      uses: advanced-security/maven-dependency-submission-action@571e99aab1055c2e71a1e2309b9691de18d6b7d6

---
"
constanline;XQuickEnergy;constanline/XQuickEnergy;https://github.com/constanline/XQuickEnergy;https://api.github.com/repos/constanline/XQuickEnergy;master;13/07/2023 03:48;22/04/2024 10:35;TRUE;"name: Android CI

on:
  release:
    types: [published]

jobs:
  build:

    runs-on: ubuntu-latest

    steps:
      - uses: actions/checkout@v3
        with:
          fetch-depth: 0

      - name: set up JDK 11
        uses: actions/setup-java@v3
        with:
          java-version: '11'
          distribution: 'temurin'
          cache: gradle

      - name: Grant execute permission for gradlew
        run: chmod +x gradlew

      - name: Build with Gradle
        run: ./gradlew assembleRelease

      - name: Sign app APK
        uses: ilharp/sign-android-release@v1
        id: sign_app
        with:
          releaseDir: app/build/outputs/apk/release/
          signingKey: ${{ secrets.ANDROID_SIGNING_KEY }}
          keyAlias: ${{ secrets.ANDROID_KEY_ALIAS }}
          keyStorePassword: ${{ secrets.ANDROID_KEYSTORE_PASSWORD }}
          keyPassword: ${{ secrets.ANDROID_KEY_PASSWORD }}
          buildToolsVersion: 31.0.0

      - name: Upload to Release Action
        uses: termux/upload-release-action@v4.1.0
        with:
          asset_name: xqe-sesame-${{ github.event.release.tag_name }}.apk
          file: ${{ steps.sign_app.outputs.signedFile }}
          repo_token: ${{ secrets.GITHUB_TOKEN }}
          tag: ${{ github.ref }}
          overwrite: true
          checksums: sha256

---
"
amigoscode;spring-boot-security-course;amigoscode/spring-boot-security-course;https://github.com/amigoscode/spring-boot-security-course;https://api.github.com/repos/amigoscode/spring-boot-security-course;1-Bootstrap;03/11/2019 22:59;20/04/2024 00:56;FALSE;
cinit;TMoe;cinit/TMoe;https://github.com/cinit/TMoe;https://api.github.com/repos/cinit/TMoe;main;16/01/2022 09:46;22/04/2024 06:59;TRUE;"name: Pull Request Check

on:
  pull_request:
    branches: [ main ]
    paths-ignore:
      - '**.md'
      - '**.txt'
      - '.github/**'
      - '!.github/workflows/**'

jobs:
  build:
    runs-on: ubuntu-latest
    if: ${{ !startsWith(github.event.head_commit.message, '[skip ci]') }}

    steps:
      - uses: actions/checkout@v3.3.0
        with:
          submodules: 'recursive'
          fetch-depth: 0

      - name: set up JDK 17
        uses: actions/setup-java@v3.9.0
        with:
          java-version: '17'
          distribution: 'adopt'
          cache: gradle

      - name: Cache Gradle Dependencies
        uses: actions/cache@v3.2.4
        with:
          path: |
            ~/.gradle/caches
            ~/.gradle/wrapper
            !~/.gradle/caches/build-cache-*
          key: gradle-deps-core-${{ hashFiles('**/build.gradle.kts', '**/build.gradle', '**/libs.versions.toml') }}
          restore-keys: |
            gradle-deps

      - name: Cache Gradle Build
        uses: actions/cache@v3.2.4
        with:
          path: |
            ~/.gradle/caches/build-cache-*
            ~/.gradle/buildOutputCleanup/cache.properties
          key: gradle-builds-core-${{ github.sha }}
          restore-keys: |
            gradle-builds

      - name: Grant execute permission for gradlew
        run: chmod +x gradlew

      - name: Build with Gradle
        run: ./gradlew :app:assembleDebug

---
name: main

on:
  workflow_dispatch:
  push:
    branches: [ main ]
    paths-ignore:
      - '**.md'
      - '**.txt'
      - '.github/**'
      - '.idea/**'
      - '!.github/workflows/**'

jobs:
  build:
    runs-on: ubuntu-latest
    if: ${{ !startsWith(github.event.head_commit.message, '[skip ci]') }}

    steps:
      - uses: actions/checkout@v3.3.0
        with:
          submodules: 'recursive'
          fetch-depth: 0

      - name: set up JDK 17
        uses: actions/setup-java@v3.9.0
        with:
          java-version: '17'
          distribution: 'adopt'
          cache: gradle

      - name: Cache Gradle Dependencies
        uses: actions/cache@v3.2.4
        with:
          path: |
            ~/.gradle/caches
            ~/.gradle/wrapper
            !~/.gradle/caches/build-cache-*
          key: gradle-deps-core-${{ hashFiles('**/build.gradle.kts', '**/build.gradle', '**/libs.versions.toml') }}
          restore-keys: |
            gradle-deps

      - name: Cache Gradle Build
        uses: actions/cache@v3.2.4
        with:
          path: |
            ~/.gradle/caches/build-cache-*
            ~/.gradle/buildOutputCleanup/cache.properties
          key: gradle-builds-core-${{ github.sha }}
          restore-keys: |
            gradle-builds

      - name: Grant execute permission for gradlew
        run: chmod +x gradlew

      - name: Build with Gradle
        run: |
          echo ""${{ secrets.SIGN_KEYSTORE_BASE64 }}"" | base64 -d > keystore.jks
          ./gradlew :app:assembleRelease
        env:
          KEYSTORE_PATH: ""../keystore.jks""
          KEYSTORE_PASSWORD: ${{ secrets.SIGN_KEYSTORE_PASSWORD }}
          KEY_ALIAS: ${{ secrets.SIGN_KEY_ALIAS }}
          KEY_PASSWORD: ${{ secrets.SIGN_KEY_PASSWORD }}

      - name: Upload Artifacts
        uses: actions/upload-artifact@v3
        # don't upload the artifacts if it's a pull request
        if: ${{ !github.event.pull_request }}
        with:
          path: './app/build/outputs/*'
          name: build_output_${{ github.event.head_commit.id }}.zip

  upload-telegram:
    name: Upload Release
    if: ${{ success() && github.ref == 'refs/heads/main' }}
    runs-on: ubuntu-latest
    needs:
      - build
      - telegram-bot-api
    steps:
      - name: Download Artifacts
        uses: actions/download-artifact@v3
        with:
          path: artifacts
      - name: Download Telegram Bot API Binary
        uses: actions/download-artifact@master
        with:
          name: telegram-bot-api-binary
          path: .
      - name: Release
        env:
          COMMIT_MESSAGE: |+
            New push to github\!
            ```
            ${{ github.event.head_commit.message }}
            ```by `${{ github.event.head_commit.author.name }}`
            See commit detail [here](${{ github.event.head_commit.url }})
          COMMIT_URL: ${{ github.event.head_commit.url }}
        run: |
          ESCAPED=`python3 -c 'import json,os,urllib.parse; msg = json.dumps(os.environ[""COMMIT_MESSAGE""]); print(urllib.parse.quote(msg if len(msg) <= 1024 else json.dumps(os.environ[""COMMIT_URL""])))'`
          export universal=$(find artifacts -name ""*.apk"")
          chmod +x telegram-bot-api-binary
          ./telegram-bot-api-binary --api-id=21724 --api-hash=3e0cb5efcd52300aec5994fdfc5bdc16 --local 2>&1 > /dev/null &
          curl -v ""http://127.0.0.1:8081/bot${{ secrets.TELEGRAM_TOKEN  }}/sendMediaGroup?chat_id=-${{ vars.TG_CI_UPLOAD_TARGET_CHANNEL }}&message_thread_id=${{ vars.TG_CI_UPLOAD_TARGET_REPLY_ID }}&media=%5B%7B%22type%22%3A%22document%22%2C%20%22media%22%3A%22attach%3A%2F%2Funiversal%22%2C%22parse_mode%22%3A%22MarkdownV2%22%2C%22caption%22:${ESCAPED}%7D%5D"" \
           -F universal=""@$universal""
          pkill telegram-bot

  telegram-bot-api:
    name: Telegram Bot API
    runs-on: ubuntu-latest
    steps:
      - name: Checkout
        uses: actions/checkout@v3.3.0
      - name: Clone Telegram Bot API
        run: |
          git clone --recursive https://github.com/tdlib/telegram-bot-api.git
          git status telegram-bot-api >> telegram-bot-api-status
      - name: Cache Bot API Binary
        id: cache-bot-api
        uses: actions/cache@v3.2.4
        with:
          path: telegram-bot-api-binary
          key: CI-telegram-bot-api-${{ hashFiles('telegram-bot-api-status') }}
      - name: Compile Telegram Bot API
        if: steps.cache-bot-api.outputs.cache-hit != 'true'
        run: |
          sudo apt-get update
          sudo apt-get install make git zlib1g-dev libssl-dev gperf cmake g++
          cd telegram-bot-api
          rm -rf build
          mkdir build
          cd build
          cmake -DCMAKE_BUILD_TYPE=Release -DCMAKE_INSTALL_PREFIX:PATH=.. ..
          cmake --build . --target install -j$(nproc)
          cd ../..
          ls -l telegram-bot-api/bin/telegram-bot-api*
          cp telegram-bot-api/bin/telegram-bot-api telegram-bot-api-binary
      - name: Upload Binary
        uses: actions/upload-artifact@master
        with:
          name: telegram-bot-api-binary
          path: telegram-bot-api-binary

---
"
runsidekick;sidekick;runsidekick/sidekick;https://github.com/runsidekick/sidekick;https://api.github.com/repos/runsidekick/sidekick;master;22/08/2022 15:46;19/04/2024 18:23;TRUE;"# This workflow will build a Java project with Maven
# For more information see: https://help.github.com/actions/language-and-framework-guides/building-and-testing-java-with-maven

name: build-maven

on:
  push:
    branches: [ master ]
    paths-ignore:
      - 'docker/**'
      - 'mysql/**'
      - '*.md'
  pull_request:
    branches: [ master ]
    paths-ignore:
      - 'docker/**'
      - 'mysql/**'
      - '*.md'
  workflow_dispatch:

jobs:
  build:

    runs-on: ubuntu-latest

    steps:
      - name: Collect Workflow Telemetry
        uses: runforesight/foresight-workflow-kit-action@v1
        with:
          api_key: ${{ secrets.FORESIGHT_API_KEY }}
      - uses: actions/checkout@v2
      - name: Set up JDK 1.8
        uses: actions/setup-java@v1
        with:
          java-version: 1.8
      - name: Build with Maven
        run: mvn -f sidekick -q clean install
      - name: Analyze Test and/or Coverage Results
        if: always()
        uses: runforesight/foresight-test-kit-action@v1
        with:
          api_key: ${{ secrets.FORESIGHT_API_KEY }}
          test_format: junit
          test_framework: junit
          test_path: sidekick/*/target/surefire-reports/**
          coverage_format: jacoco/xml
          coverage_path: sidekick/*/target/site/jacoco/*.xml

---
name: publish-sidekick-api-docker

on:
  workflow_dispatch:

jobs:
  docker:
    name: Publish - Docker Hub
    runs-on: ubuntu-latest
    env:
      REPO: runsidekick/sidekick-api
      DOCKERFILE: sidekick/sidekick-api/Dockerfile
      JAR_FILE: sidekick/sidekick-api/target/sidekick-api.jar

    steps:
      - uses: actions/checkout@v2
      - name: Cache Maven packages
        uses: actions/cache@v2
        with:
          path: ~/.m2
          key: ${{ runner.os }}-m2-${{ hashFiles('pom.xml') }}
          restore-keys: ${{ runner.os }}-m2
      - name: Create artifact
        run: mvn -f sidekick -B clean package -DskipTests
      - name: Login to Docker Hub
        run: docker login -u runsidekick -p ${{ secrets.SIDEKICK_DOCKERHUB_PASSWORD }}
      - name: Build Docker image
        run: docker build -t $REPO:latest -t $REPO:${GITHUB_SHA::8} -f $DOCKERFILE --build-arg JAR_FILE=$JAR_FILE .
      - name: Publish Docker image
        run: docker push $REPO -a

---
name: publish-sidekick-broker-docker

on:
  workflow_dispatch:

jobs:
  docker:
    name: Publish - Docker Hub
    runs-on: ubuntu-latest
    env:
      REPO: runsidekick/sidekick-broker
      DOCKERFILE: sidekick/sidekick-broker/sidekick-broker-app/Dockerfile
      JAR_FILE: sidekick/sidekick-broker/sidekick-broker-app/target/sidekick-broker-app.jar

    steps:
      - uses: actions/checkout@v2
      - name: Cache Maven packages
        uses: actions/cache@v2
        with:
          path: ~/.m2
          key: ${{ runner.os }}-m2-${{ hashFiles('pom.xml') }}
          restore-keys: ${{ runner.os }}-m2
      - name: Create artifact
        run: mvn -f sidekick -B clean package -DskipTests
      - name: Login to Docker Hub
        run: docker login -u runsidekick -p ${{ secrets.SIDEKICK_DOCKERHUB_PASSWORD }}
      - name: Build Docker image
        run: docker build -t $REPO:latest -t $REPO:${GITHUB_SHA::8} -f $DOCKERFILE --build-arg JAR_FILE=$JAR_FILE .
      - name: Publish Docker image
        run: docker push $REPO -a

---
name: release-internal-repo

on:
  workflow_dispatch:

jobs:
  build:
    runs-on: ubuntu-latest
    steps:
      - name: Check out source
        uses: actions/checkout@v2
        with:
          token: ${{ secrets.SIDEKICK_DEVOPS_GITHUB_ACCESS_TOKEN }}

      - name: Set up JDK 1.8
        uses: actions/setup-java@v1
        with:
          java-version: 1.8

      - name: Configure CI Git User
        run: |
          git config --global user.email ""action@github.com""
          git config --global user.name ""GitHub Action""

      - name: Configure Maven settings.xml
        uses: whelk-io/maven-settings-xml-action@v14
        with:
          repositories: >-
            [
              {
                ""id"": ""sidekick-oss-releases"",
                ""url"": ""https://repo.thundra.io/content/repositories/sidekick-oss-releases"",
                ""releases"": {
                  ""enabled"": ""true""
                },
                ""snapshots"": {
                  ""enabled"": ""false""
                }
              },
              {
                ""id"": ""sidekick-oss-snapshots"",
                ""url"": ""https://repo.thundra.io/content/repositories/sidekick-oss-snapshots"",
                ""releases"": {
                  ""enabled"": ""false""
                },
                ""snapshots"": {
                  ""enabled"": ""true""
                }
              }
            ]
          servers: >-
            [
              {
                ""id"": ""sidekick-oss-releases"",
                ""username"": ""${{ secrets.SIDEKICK_INTERNAL_REPO_USERNAME  }}"",
                ""password"": ""${{ secrets.SIDEKICK_INTERNAL_REPO_PASSWORD  }}""
              },
              {
                ""id"": ""sidekick-oss-snapshots"",
                ""username"": ""${{ secrets.SIDEKICK_INTERNAL_REPO_USERNAME  }}"",
                ""password"": ""${{ secrets.SIDEKICK_INTERNAL_REPO_PASSWORD  }}""
              }
            ]
      - name: Import GPG key
        uses: crazy-max/ghaction-import-gpg@v3
        with:
          gpg-private-key: ${{ secrets.SIDEKICK_GPG_PRIVATE_KEY }}
          passphrase: ${{ secrets.SIDEKICK_GPG_PASSPHRASE}}
      - name: Build and Release Snapshot with Maven
        env:
          GITHUB_TOKEN: ${{ secrets.SIDEKICK_DEVOPS_GITHUB_ACCESS_TOKEN }}
        run: mvn -f sidekick -DskipTests=true -q clean package release:clean release:prepare release:perform release:clean --batch-mode -P internal-release

---
name: release-maven-central

on:
  workflow_dispatch:
    inputs:
      version_scale:
        description: ""Version scale""
        required: true
        default: ""patch""
jobs:
  publish:
    name: Release to Maven Central
    runs-on: ubuntu-latest
    steps:
      - name: Check out repository
        uses: actions/checkout@v2
        with:
          token: ${{ secrets.SIDEKICK_DEVOPS_GITHUB_ACCESS_TOKEN }}
      - name: Set up JDK 1.8
        uses: actions/setup-java@v1
        with:
          java-version: 1.8
      - name: Configure CI Git User
        run: |
          git config --global user.email ""action@github.com""
          git config --global user.name ""GitHub Action""
      - name: Configure Maven settings.xml
        uses: whelk-io/maven-settings-xml-action@v14
        with:
          servers: >-
            [
              {
                ""id"": ""ossrh"",
                ""username"": ""${{ secrets.SIDEKICK_SONATYPE_NEXUS_USERNAME}}"",
                ""password"": ""${{ secrets.SIDEKICK_SONATYPE_NEXUS_PASSWORD}}""
              }
            ]
      - name: Import GPG key
        uses: crazy-max/ghaction-import-gpg@v3
        with:
          gpg-private-key: ${{ secrets.SIDEKICK_GPG_PRIVATE_KEY }}
          passphrase: ${{ secrets.SIDEKICK_GPG_PASSPHRASE}}
      - name: Increase Minor Version
        if: ${{ github.event.inputs.version_scale == 'minor' }}
        run: mvn -f sidekick build-helper:parse-version versions:set -DnewVersion=\${parsedVersion.majorVersion}.\${parsedVersion.nextMinorVersion}.0-SNAPSHOT versions:commit
      - name: Increase Major Version
        if: ${{ github.event.inputs.version_scale == 'major' }}
        run: mvn -f sidekick build-helper:parse-version versions:set -DnewVersion=\${parsedVersion.nextMajorVersion}.0.0-SNAPSHOT versions:commit
      - name: Build and Release with Maven
        env:
          GITHUB_TOKEN: ${{ secrets.SIDEKICK_DEVOPS_GITHUB_ACCESS_TOKEN }}
        run: mvn -f sidekick clean package release:clean release:prepare release:perform release:clean --batch-mode -P release
---
"
Xin-Felix;Mango;Xin-Felix/Mango;https://github.com/Xin-Felix/Mango;https://api.github.com/repos/Xin-Felix/Mango;master;05/11/2019 10:44;22/04/2024 11:39;FALSE;
jbellis;jvector;jbellis/jvector;https://github.com/jbellis/jvector;https://api.github.com/repos/jbellis/jvector;main;25/08/2023 03:45;22/04/2024 00:19;TRUE;"name: Unit Test CI

on:
  workflow_dispatch:
  pull_request:
  push:
    branches:
      - main
    paths:
      - .github/workflows/unit-tests.yaml
      - '**.java'
      - '**/pom.xml'

jobs:
  build:
    concurrency:
        group: ${{ github.ref }}-${{ github.job }}-${{ matrix.jdk }}-${{ matrix.os }}
        cancel-in-progress: true
    strategy:
      matrix:
        jdk: [ 11, 20, 22]
        os: [ ubuntu-latest, windows-latest ]
    runs-on: ${{ matrix.os }}
    steps:
      - uses: actions/checkout@v4
      - name: Set up JDK
        uses: actions/setup-java@v3
        with:
          java-version: ${{ matrix.jdk }}
          distribution: temurin
          cache: maven
      - name: Compile, run tests, and package (JDK 22)
        run: mvn -B verify
        if: matrix.jdk == '22'
      - name: Compile, run tests, and package (JDK 20)
        run: mvn -B -Pjdk20 -am -pl jvector-tests test
        if: matrix.jdk == '20'
      - name: Compile and run tests (JDK 11)
        run: mvn -B -Pjdk11 -am -pl jvector-tests test
        if: matrix.jdk == '11'

---
"
yangzongzhuan;RuoYi-Vue;yangzongzhuan/RuoYi-Vue;https://github.com/yangzongzhuan/RuoYi-Vue;https://api.github.com/repos/yangzongzhuan/RuoYi-Vue;master;07/11/2019 03:18;22/04/2024 05:23;FALSE;
guchengwuyue;yshopmall;guchengwuyue/yshopmall;https://github.com/guchengwuyue/yshopmall;https://api.github.com/repos/guchengwuyue/yshopmall;master;07/11/2019 14:53;22/04/2024 05:25;FALSE;
six2dez;wahh_extras;six2dez/wahh_extras;https://github.com/six2dez/wahh_extras;https://api.github.com/repos/six2dez/wahh_extras;master;10/11/2019 00:41;13/04/2024 23:07;FALSE;
