full_name,commit_hash,target_percentage,pipeline_exists,yaml_files,lines_of_code,comments,steps,conditionals,jobs,global_env_vars,job_specific_env_vars,secrets,jobs_excluded,jobs_allowed_to_fail,unit_test_count,integration_test_count,any_test_count,build,analyze,deploy,release
BlueMap-Minecraft/BlueMap,49ae2cf08fa85bc9cfe75e152b9aba31d7dac692,0,False,,,,,,,,,,,,,,,,,,
BlueMap-Minecraft/BlueMap,e30b94efe83196101816764cb59ba27fbac517d5,10,True,gradle.yml,21,0,5,0,1,0,0,0,0,0,1,0,1,1,0,0,0
BlueMap-Minecraft/BlueMap,5784491feb3e5da1c3b488ec1597227c9731bd5c,20,True,gradle.yml,19,0,4,0,1,0,0,0,0,0,1,0,1,1,0,0,0
BlueMap-Minecraft/BlueMap,defd26a195d7d7ead24722c7aa2a1fd3beafcbac,30,True,gradle.yml,19,0,4,0,1,0,0,0,0,0,1,0,1,1,0,0,0
BlueMap-Minecraft/BlueMap,52cb6808032e8fb563f5374b1e620b6630e94dfc,40,True,gradle.yml,19,0,4,0,1,0,0,0,0,0,1,0,1,1,0,0,0
BlueMap-Minecraft/BlueMap,729de9c20e775c444a2818b7bcaaa8479b2f6cbb,50,True,gradle.yml,27,0,5,0,1,0,0,0,0,0,1,0,1,1,0,0,0
BlueMap-Minecraft/BlueMap,03f58c7739b4b9f7c9f1951bd161ea3fa33dc8b4,60,True,gradle.yml,27,0,5,0,1,0,0,0,0,0,1,0,1,1,0,0,0
BlueMap-Minecraft/BlueMap,11306ec9cf622fb4be95e1ed4450ee00f4b6aa1d,70,True,"build.yml, publish.yml",109,4,4,0,1,0,0,3,0,0,1,0,1,1,0,0,1
BlueMap-Minecraft/BlueMap,5933d43b62d316a07f96e501fc7e898f34d13d02,80,True,"build.yml, publish.yml",107,4,4,0,1,0,0,3,0,0,1,0,1,1,0,0,1
BlueMap-Minecraft/BlueMap,24a6b2f3705c26aad1d5b8f80fd3741e72dee8e4,90,True,"build.yml, publish.yml",103,4,3,0,1,0,0,3,0,0,1,0,1,1,0,0,1
BlueMap-Minecraft/BlueMap,ee3ab6ff9a1ad7e7875c0cef4643d1e2bcff69af,100,True,"build.yml, publish.yml, translation-checker.yml",126,4,4,0,1,0,0,3,0,0,1,0,1,0,0,1,0
neo4j/graph-data-science,6e4ee1333a204c0147ce3fc1b4aa41006cfd9da2,0,False,,,,,,,,,,,,,,,,,,
neo4j/graph-data-science,b2de6510ed99453f6734870b3a14a2f9b1020aae,10,False,,,,,,,,,,,,,,,,,,
neo4j/graph-data-science,872d54c351f67014247e66db2b375a48487a41d3,20,True,gradle_cipr.yml,17,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
neo4j/graph-data-science,8c86ccb913a8bea83140c3b6f6e8603ea3220ec5,30,True,gradle_cipr.yml,17,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
neo4j/graph-data-science,1b8845fa4e7f9c9df0c8ccc3026258a6f669093b,40,True,gradle_cipr.yml,17,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
neo4j/graph-data-science,bf5498bccd7e84760b46222e11245e4c8fb8c89a,50,True,gradle_cipr.yml,18,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
neo4j/graph-data-science,a6d432e4ee5d82a2693898683861700a0fe1ceb1,60,True,gradle_cipr.yml,18,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
neo4j/graph-data-science,51d9648b05590612cbb9acf9d10ed4474a29f008,70,True,gradle_cipr.yml,23,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
neo4j/graph-data-science,ce39a1cafe3255c756bd1ebc7a9fce71e1532201,80,True,gradle_cipr.yml,23,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
neo4j/graph-data-science,2b2ad43094fc71dd776a211e18ed48f8d14c1bec,90,True,gradle_cipr.yml,23,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
neo4j/graph-data-science,1d95f1512c106dc2a2536364ff4b491cbb4e789d,100,True,gradle_cipr.yml,23,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
WeBankFinTech/DataSphereStudio,a9c4c7c6e6ff84106bcb71ae5b15ffa1c1a45dfe,0,False,,,,,,,,,,,,,,,,,,
WeBankFinTech/DataSphereStudio,e611bed60941ec6270153b563ed38971f9ee748a,10,False,,,,,,,,,,,,,,,,,,
WeBankFinTech/DataSphereStudio,8cc4d5bf688f7e8045fa4eecdcfcc1746cc0a44a,20,False,,,,,,,,,,,,,,,,,,
WeBankFinTech/DataSphereStudio,833bc59a59b70ff2544492e32aeb45414cb7bf2f,30,False,,,,,,,,,,,,,,,,,,
WeBankFinTech/DataSphereStudio,f5ba26e88f69e5c7f8e5bc96820d6e9d919bade0,40,False,,,,,,,,,,,,,,,,,,
WeBankFinTech/DataSphereStudio,08ab44b7aecc57511ec6e52c6ca7c7ad5291f1ca,50,False,,,,,,,,,,,,,,,,,,
WeBankFinTech/DataSphereStudio,54a51296fe0e956e5da97378586648a0f76c6311,60,True,"build.yml, check_license.yml",94,37,5,0,1,0,0,0,0,0,1,0,1,1,1,0,0
WeBankFinTech/DataSphereStudio,5b3f489539e79092a05904985c2ca51e2356728d,70,True,"build.yml, check_license.yml",95,37,5,0,1,0,0,0,0,0,1,0,1,1,1,0,0
